,Rank,Name,Symbol,MainLink,HistoricalLink,Git_hub,Tags
0,1,Bitcoin,BTC,https://coinmarketcap.com/currencies/bitcoin/,https://coinmarketcap.com/currencies/bitcoin/historical-data/,https://github.com/bitcoin/bitcoin,"Mineable,PoW,SHA-256"
1,2,Ethereum,ETH,https://coinmarketcap.com/currencies/ethereum/,https://coinmarketcap.com/currencies/ethereum/historical-data/,https://github.com/ethereum/go-ethereum,"PoS,Smart Contracts,Ethereum Ecosystem"
2,3,Tether USDt,USDT,https://coinmarketcap.com/currencies/tether/,https://coinmarketcap.com/currencies/tether/historical-data/,,"Payments,Stablecoin,Asset-Backed Stablecoin"
3,4,BNB,BNB,https://coinmarketcap.com/currencies/bnb/,https://coinmarketcap.com/currencies/bnb/historical-data/,https://github.com/bnb-chain,"Marketplace,Centralized Exchange (CEX) Token,Payments"
4,5,XRP,XRP,https://coinmarketcap.com/currencies/xrp/,https://coinmarketcap.com/currencies/xrp/historical-data/,https://github.com/ripple/rippled,"Medium of Exchange,Enterprise Solutions,Arrington XRP Capital Portfolio"
5,6,USD Coin,USDC,https://coinmarketcap.com/currencies/usd-coin/,https://coinmarketcap.com/currencies/usd-coin/historical-data/,https://github.com/centrehq/centre-tokens,"Medium of Exchange,Stablecoin,Asset-Backed Stablecoin"
6,7,Cardano,ADA,https://coinmarketcap.com/currencies/cardano/,https://coinmarketcap.com/currencies/cardano/historical-data/,https://cardanoupdates.com/,"DPoS,PoS,Platform"
7,8,Dogecoin,DOGE,https://coinmarketcap.com/currencies/dogecoin/,https://coinmarketcap.com/currencies/dogecoin/historical-data/,https://github.com/dogecoin/dogecoin,"Mineable,PoW,Scrypt"
8,9,Solana,SOL,https://coinmarketcap.com/currencies/solana/,https://coinmarketcap.com/currencies/solana/historical-data/,https://github.com/solana-labs,"PoS,Platform,Solana Ecosystem"
9,10,TRON,TRX,https://coinmarketcap.com/currencies/tron/,https://coinmarketcap.com/currencies/tron/historical-data/,https://github.com/tronprotocol/java-tron,"Media,Payments,TRON Ecosystem"
10,11,Polkadot,DOT,https://coinmarketcap.com/currencies/polkadot-new/,https://coinmarketcap.com/currencies/polkadot-new/historical-data/,https://github.com/paritytech/polkadot,"Substrate,Polkadot,Binance Chain"
11,12,Dai,DAI,https://coinmarketcap.com/currencies/multi-collateral-dai/,https://coinmarketcap.com/currencies/multi-collateral-dai/historical-data/,,"DeFi,Stablecoin,Asset-Backed Stablecoin"
12,13,Polygon,MATIC,https://coinmarketcap.com/currencies/polygon/,https://coinmarketcap.com/currencies/polygon/historical-data/,https://github.com/maticnetwork/contracts,"PoS,Platform,Enterprise Solutions"
