Algorithm,Category,Others,Platform,Industry,Self-Reported Tags,no_lable
"PoW,SHA-256","Store Of Value,State Channel,Coinbase Ventures Portfolio,Three Arrows Capital Portfolio,Polychain Capital Portfolio,Binance Labs Portfolio,Blockchain Capital Portfolio,BoostVC Portfolio,CMS Holdings Portfolio,DCG Portfolio,DragonFly Capital Portfolio,Electric Capital Portfolio,Fabric Ventures Portfolio,Framework Ventures Portfolio,Galaxy Digital Portfolio,Huobi Capital Portfolio,Alameda Research Portfolio,a16z Portfolio,1Confirmation Portfolio,Winklevoss Capital Portfolio,USV Portfolio,Placeholder Ventures Portfolio,Pantera Capital Portfolio,Multicoin Capital Portfolio,Paradigm Portfolio,FTX Bankruptcy Estate ",Mineable,Bitcoin Ecosystem,,,
PoS,"Smart Contracts,Coinbase Ventures Portfolio,Three Arrows Capital Portfolio,Polychain Capital Portfolio,Binance Labs Portfolio,Blockchain Capital Portfolio,BoostVC Portfolio,CMS Holdings Portfolio,DCG Portfolio,DragonFly Capital Portfolio,Electric Capital Portfolio,Fabric Ventures Portfolio,Framework Ventures Portfolio,Hashkey Capital Portfolio,Kenetic Capital Portfolio,Huobi Capital Portfolio,Alameda Research Portfolio,a16z Portfolio,1Confirmation Portfolio,Winklevoss Capital Portfolio,USV Portfolio,Placeholder Ventures Portfolio,Pantera Capital Portfolio,Multicoin Capital Portfolio,Paradigm Portfolio,Layer 1,FTX Bankruptcy Estate ",,"Ethereum Ecosystem,Injective Ecosystem",,,
,"Stablecoin,Asset-Backed Stablecoin,USD Stablecoin",,"Avalanche Ecosystem,Solana Ecosystem,Arbitrum Ecosystem,Moonriver Ecosystem,Injective Ecosystem,BNB Chain,Optimism Ecosystem",Payments,,
,"Centralized Exchange (CEX) Token,Smart Contracts,Alameda Research Portfolio,Multicoin Capital Portfolio,Layer 1,SEC Security Token,Alleged SEC Securities,Celsius Bankruptcy Estate",,BNB Chain,"Marketplace,Payments",,
,"Arrington XRP Capital Portfolio,Galaxy Digital Portfolio,a16z Portfolio,Pantera Capital Portfolio,FTX Bankruptcy Estate ",,,"Medium of Exchange,Enterprise Solutions",,
,"Stablecoin,Asset-Backed Stablecoin,USD Stablecoin",,"Hedera Hashgraph Ecosystem,Fantom Ecosystem,Arbitrum Ecosystem,Moonriver Ecosystem,BNB Chain,Optimism Ecosystem",Medium of Exchange,,
"DPoS,PoS","Platform,Smart Contracts,Staking,Layer 1,SEC Security Token,Alleged SEC Securities",,"Cardano Ecosystem,Cardano",Research,,
"PoW,Scrypt","Doggone Doggerel,FTX Bankruptcy Estate ",Mineable,BNB Chain,"Medium of Exchange,Memes,Payments",,
PoS,"Platform,CMS Holdings Portfolio,Kenetic Capital Portfolio,Alameda Research Portfolio,Multicoin Capital Portfolio,OKEx Blockdream Ventures Portfolio,Layer 1,FTX Bankruptcy Estate ,SEC Security Token,Alleged SEC Securities",,Solana Ecosystem,,,
,"DWF Labs Portfolio,SEC Security Token,Alleged SEC Securities",,TRON Ecosystem,"Media,Payments",,
